Sepal length,Sepal width,petal length,petal width,Class,Class,,,
4.6,3.1,1.5,0.2,1,Iris-setosa,0.04407484,,
5.9,3,4.2,1.5,2,Iris-versicolor,0.36187597,,
5.9,3,5.1,1.8,3,Iris-virginica,0.584748506,,
6.8,3,5.5,2.1,3,Iris-virginica,0.481885033,,
5.4,3.4,1.7,0.2,1,Iris-setosa,0.045926099,,
4.4,3.2,1.3,0.2,1,Iris-setosa,0.38585478,,
7.7,3.8,6.7,2.2,3,Iris-virginica,0.004177612,,
6.5,3,5.5,1.8,3,Iris-virginica,0.794743747,,
6.3,3.3,4.7,1.6,2,Iris-versicolor,0.284549731,,
6.8,3.2,5.9,2.3,3,Iris-virginica,0.984575745,,
5,3.5,1.6,0.6,1,Iris-setosa,0.130687331,,
6.7,3.1,4.4,1.4,2,Iris-versicolor,0.641854469,,
5.6,2.8,4.9,2,3,Iris-virginica,0.326588414,,
6.2,2.9,4.3,1.3,2,Iris-versicolor,0.026857604,,
